/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP08.px	2022-07-26	GDP production at prices of the same period of the previous year by NACE 2 classification by types of economic activity by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP09.px	2022-07-26	Changes in GDP production to corresponding quarter of the previous year, by NACE 2 classification by types of economic activity by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP10.px	2022-07-26	Changes in GDP production real volume chain-link indices 2010=100 by NACE 2 classification by types of economic activity by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP11.px	2022-07-26	Changes in GDP production real volume chain-link indices 2011=100 by NACE 2 classification by types of economic activity by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP12.px	2022-07-26	Changes in GDP production real volume chain-link indices 2012=100 by NACE 2 classification by types of economic activity by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15222 Expenditure of GDP (by main consumption elements)/EF-NA-93QE01.px	2022-07-26	Expenditure of the GDP by main consumption elements by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15222 Expenditure of GDP (by main consumption elements)/EF-NA-93QE02.px	2022-07-26	Structure of expenditure of the GDP by main consumption elements by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15222 Expenditure of GDP (by main consumption elements)/EF-NA-93QE03.px	2022-07-26	Expenditure of the GDP at prices of the same period of the previous year by main consumption elements by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15222 Expenditure of GDP (by main consumption elements)/EF-NA-93QE04.px	2022-07-26	Changes in expenditure of the GDP by main consumption elements by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15222 Expenditure of GDP (by main consumption elements)/EF-NA-93QE05.px	2022-07-26	Expenditure of the GDP real volume chain-link indices, 2009=100 by main consumption elements by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15222 Expenditure of GDP (by main consumption elements)/EF-NA-93QE06.px	2022-07-26	Expenditure of the GDP real volume chain-link indices, 2010=100 by main consumption elements by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15222 Expenditure of GDP (by main consumption elements)/EF-NA-93QE07.px	2022-07-26	Expenditure of the GDP real volume chain-link indices, 2011=100 by main consumption elements by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15222 Expenditure of GDP (by main consumption elements)/EF-NA-93QE08.px	2022-07-26	Expenditure of the GDP real volume chain-link indices, 2012=100 by main consumption elements by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/EF-NA-01.px	2026-07-29	Indicator of economic activity by years, months and indicators
/1 Econnomy and finance/15 National Accounts/EF-NA-01 A.px	2024-03-01	Indicator of economic activity with seasonal adjustment (2019=100) by years, months and indicators
/1 Econnomy and finance/15 National Accounts/EF-NA-01 B.px	2025-02-03	Indicator of economic activity with seasonal adjustment (2021=100) by years, months and indicators
/1 Econnomy and finance/15 National Accounts/EF-NA-01 C.px	2026-02-03	Indicator of economic activity with seasonal adjustment (2022=100) by years, months and indicators
/1 Econnomy and finance/15 National Accounts/EF-NA-01 D.px	2026-07-29	Indicator of economic activity with seasonal adjustment (2023=100) by years, months and indicators
/1 Econnomy and finance/16 Producer Prices/161 IPPPI/EF-PP-IPPPI-1.px	2026-07-24	Industrial product producer price indexes compared to the previous month, by years
/1 Econnomy and finance/16 Producer Prices/161 IPPPI/EF-PP-IPPPI-2.px	2026-07-24	Industrial product producer price indexes by divisions of the economic activity, compared to the previous month, from 2018
/1 Econnomy and finance/16 Producer Prices/161 IPPPI/EF-PP-IPPPI-3.px	2026-01-29	Industrial product producer price indexes compared to the previous year
/1 Econnomy and finance/16 Producer Prices/161 IPPPI/EF-PP-IPPPI-4.px	2026-01-29	Industrial product producer price indexes by divisions of the classification of economic activity, compared to the previous year, from 2018
/1 Econnomy and finance/16 Producer Prices/161 IPPPI/EF-PP-IPPPI-5.px	2026-07-24	Industrial product producer price indexes compared to the 2017 year, by years and months
/1 Econnomy and finance/16 Producer Prices/162 FTPI/1621 FTPI-EXP/EF-PP-FTPI-EXP-1.px	2026-07-23	Export average price indexes (unit value) in the foreign trade (excluding humanitarian aid), compared to the previous month, by years
/1 Econnomy and finance/16 Producer Prices/162 FTPI/1621 FTPI-EXP/EF-PP-FTPI-EXP-2.px	2026-06-29	Export average price indexes (unit value) in the foreign trade (excluding humanitarian aid), compared to the previous year, by divisions
/1 Econnomy and finance/16 Producer Prices/162 FTPI/1622 FTPI-IMP/EF-PP-FTPI-IMP-1.px	2026-07-23	Import average price indexes (unit value) in the foreign trade (excluding humanitarian aid), compared to the previous month, by years
/1 Econnomy and finance/16 Producer Prices/162 FTPI/1622 FTPI-IMP/EF-PP-FTPI-IMP-2.px	2026-06-29	Import average price indexes (unit value) in the foreign trade (excluding humanitarian aid), compared to the previous year, by divisions
/1 Econnomy and finance/16 Producer Prices/163 FTI/EF-PP-FTI-1.px	2026-07-27	Freight tariffs indexes compared to the previous month, by years
/1 Econnomy and finance/16 Producer Prices/163 FTI/EF-PP-FTI-2.px	2026-01-26	Freight tariffs indexes compared to the previous year
/1 Econnomy and finance/16 Producer Prices/164  API/1642 SALE/EF-PP-API-SALE-1.px	2026-07-22	Sale price indexes of agricultural product (crop and livestock) producers compared to the previous month, by years
/1 Econnomy and finance/16 Producer Prices/164  API/1642 SALE/EF-PP-API-SALE-2.px	2026-01-26	Sale price indexes of agricultural product (crop and livestock) producers compared to the previous year
/1 Econnomy and finance/16 Producer Prices/165 CPI/EF-PP-CPI-1.px	2026-07-27	Construction price indexes compared to the previous month, by years
/1 Econnomy and finance/16 Producer Prices/165 CPI/EF-PP-CPI-2.px	2026-01-26	Construction price indexes compared to the previous year
